Name of Medicine,Reference text,Dispensing Pack Size,Main Indications,Dose,Precaution/ Contraindication,Preferred use (OPD/ IPD),Class,English_Text
Eladi Gutika,AFI,10 gm,"Kasa, Shvasa, Chhardi,
Bhrama, Svarabheda, Raktanishthivana",500 mg -1 gm,NS,Both,L,"cough, Breathing, Nominee, Confusion, Vowel, Hemorrhagic"
Kankayan Gutika,AFI,10 gm,"Gulma, Krimi, Arsha",500 mg- 1 gm,NS,Both,L,"abdominal tumor, worms, piles"
Khadiradi Gutika (Mukhroga),AFI,10 gm,"Mukhdaurgandhya, Mukhapaka, Dantaroga,
Galaroga",1 - 2 pills,NS,Both,L,"Mukhadaundhya, stomatitis, Dantog, throat disease"
Kutajaghan Vati,AFI,5  gm,"Atisara, Grahani,
Jvaratisara",250-500 mg,NS,Both,L,"diarrhea, irritable bowel syndrome, Feverish"
Lavangadi Vati,AFI,5 gm,"Kasa, Shvasa",1-2 pills,NS,Both,L,"cough, Breathing"
Lahsunadi Vati,AFI,10 gm,"Visuchika, Ajirna, Atisara",500 mg -1 gm,"Hyperacidity, Peptic Ulcer, Pitta Prakriti, history of Raktapitt aja
Vikara",Both,L,"Vicupika, indigestion, diarrhea"
Prabhakara Vati,AFI,5 gm,"Hridroga, Daurbalya",125-250 mg,NS,Both,L,"heart disease, Richness"
Rajahpravartini Vati,AFI,5 gm,"Rajorodha, Kastartava",250 mg,"Pregnancy, lactation, excessive Uterine Bleeding, kidney disease, discontinue in case of severe abdominal
pain",Both,L,"Sunday, Custartava"
"Samshamani Vati
/ Guduchighana Vati",AFI,5 gm,"Jvara, Jirna Jvara,
Vishma Jvara, Daha",250-500 mg,NS,Both,L,"fever, Chronic fever, Odd fever, burning sensation"
Sarpagandhaghana Vati,AFI,5 gm,"Anidra, Manodvega",250-500 mg,"Concomi tant use of medicines made of Vatsanab ha
or Gok shuru, anti hyperten sives/ depressa nts/ psychotropic medicines postural hypotens ion,
bradycar dia","Both
-",L,"insomnia, Manodwaga"
Sanjivani Vati,AFI,5 gm,"Mandagni, Ajirna, Gulma, Visuchika, Sarpadamsha",125 mg,"Pitta Prakriti individuals, hyper sensitivity to Bhallataka, patients having history of Raktapittaja Vikara,
pregnancy, cardiac arrhythmia,
long term use","Both
-",L,"Retardation, indigestion, abdominal tumor, Vicupika, Snakebite"
Vettumaran Gulika,SY,5 gm,"Jvara, Chhardi,
Mutraghata, Gulma",250-375 mg,NS,Both,L,"fever, Nominee, Urinary, abdominal tumor"
Elanirkuzambu/N alikeranjana,AFI,25 ml,"Netravrana, Arma,
Timira, Pittaja Netraroga, Abhishyanda",1-2 drops to be instilled in eyes,NS,Both,M,"Eye environment, Arma, cataract, Bile, conjunctivitis"
Guduchi Sattva,AFI,25 gm,"Jvara, Vatarakta,
Kamala, Prameha",500 mg- 1gm,NS,Both,N,"fever, gout, jaundice, diabetes"
Panchamrita Parpati,AFI,5 gm,"Grahani, Atisara, Agnimandya, Kshaya",125- 250 mg,"Peri- concepti onal period, pregnanc y, lactation period, kidney disease, small
children",Both,O,"irritable bowel syndrome, diarrhea, Fire, phthisis"
"Shveta Parpati/Kshara
Parpati",AFI,10 gm,"Ashmari, Mutrakriccha, Mutraghata",500 mg- 1 gm,NS,Both,O,"kidney stones, Urinary, Urinary"
Akika Pishti,AFI,5 gm,"Hriddaha, Hridroga,
Kshaya, Shiroroga, Kasa,",125 -- 250 mg,NS,Both,P,"Hrudah, heart disease, phthisis, headache, cough, "
Mukta Pishti,AFI,2 gm,"Manodosha, Unmada, Hridroga",65-125 mg,NS,IPD,P,"Mental, insanity, heart disease"
Pravala Pishti,AFI,5 gm,"Kasa, Pittaroga, Manodaurbalya,
Ojakshya, Hridroga",250 mg,NS,Both,P,"cough, Biliary, Manodorbaliya, Ojakshya, heart disease"
Godanti Bhasma,AFI,10 gm,"Shirahshula, Pitta Jvara, Jirnajvara, Daha","500 mg- 1 gm  with ghee, sugar, warm
milk or water",NS,Both,Q,"Shirhishula, Bile fever, Chronic, burning sensation"
"Jaharamohara
Bhasma",AFI,5 gm,"Hridroga, Raktapitta,
Arsha, Raktaj Pravahika",250- 500 mg,NS,Both,Q,"heart disease, bleeding disorder, piles, Blood circle"
Kapardika Bhasma,AFI,5 gm,"Parinamashula, Agnimandya, Karnasrava",250 mg,"Not to be used on change of physical
character istics",Both,Q,"Consequence, Fire, Ensure"
Mandur Bhasma,AFI,5 gm,"Kamala, Pandu",250-500 mg,NS,Both,Q,"jaundice, anemia"
Muktashukti Bhasma,AFI,5 gm,"Udarashula,Jvara, Pitta
Jvara, Raktajroga",250-500 mg,NS,Both,Q,"Abdominal, fever, Bile
Jawara, Raktajaroga"
Shankha Bhasma,AFI,5 gm,"Agnimandya, Amlapitta, Vidagdhajirna,
Parinamashula,",250 mg,NS,Both,Q,"Fire, acid reflux, Odd, Consequence, "
Sphatika Bhasma,AFI,5 gm,"Jvara, Kaphaja Vrana, Shvitra, Visarpa,, Raktasrava,
Yonibhransha",125-250 mg,NS,Both,Q,"fever, Cuff, Splash, erysipelas, , Bleeding, Germ"
"Tankana Bhasma/
Saubhagya Bhasma",AFI,5 mg,"Kasa, Shvasa",125 - 250 mg,NS,Both,Q,"cough, Breathing"
Punarnavadi Mandura,AFI,5 gm,"Pandu, Shotha, Pliharoga",250-500 mg,NS,Both,R,"anemia, swelling, Pleasant"
"Arogyavardhini
Vati/Rasa",AFI,5 gm,"Kushta, Medoroga,
Jvara",250-500 mg,"Old age,
Paediatric age group, periconc eptional period, pregnancy, lactation period, kidney
disease, karshaya",Both,S,"Leprosy, obesity, fever"
Arsho Kuthara Rasa,BR,5 gm,Arsha,250 mg,NS,Both,S,piles
Brahmi Vati,AFI,5 gm,"Bhrama, Manoroga, Aptantrak, Akshepa,
Hriddaurbalya",125-250 mg,NS,Both,S,"Confusion, Psychiatry, Untreated, Objection, Hrupta"
Gandhak Rasayana,YR,5 gm,"Kushta,  Raktadushti, Prameha",250-500 mg,"Hyperse nsitivity, loose
motions",Both,S,"Leprosy, Bloodstream, diabetes"
Kamadudha  Rasa,RYS,5 gm,"Amlapitta, Raktapitta, Daha, JirnaJvara,
Pradara",125-250 mg,NS,Both,S,"acid reflux, bleeding disorder, burning sensation, Chronic, Leucorrhoea"
Laghumalini Vasanta Rasa,AFI,5 gm,"Kshaya, Yakshma, Pradara, Netraroga, Arsha, JirnaJvara",125- 250 mg,"Kidney disease, long term
use",Both,S,"phthisis, Tuberculosis, Leucorrhoea, eye disease, piles, Chronic"
Laghu Sutashekhara Rasa,AFI,5 gm,"Pittaja Shirahshula, Ardhavbhedaka, Suryavarta, Daha, Urdhvaga raktapitta",250-500mg,"Long term use, pregnancy lactation period, paediatric age
group",Both,S,"Biliary head, Seminal, Suryavarta, burning sensation, Vertical blood"
Navajivana Rasa,RTS,2 gm,"Hridya , Balya, Shulahara",625-125 mg,"Long term use, hyperten sion,
pregnancy",Both,S,"Heart, Childhood, Shoolhara"
Shankha Vati,AFI,5 gm,"Grahani, Atisara, Amajirna, Visuchika, Shula",250-500 mg in divided doses,"Kidney disease, bradycar- dia, arrhy- thmia, hypotens ion,  long term use, peri- concepti onal period period,
pregnancy, lactating mothers and debilitate
patients",Both,S,"irritable bowel syndrome, diarrhea, Amajirna, Vicupika, pain"
Shirahshuladi vajra Rasa,AFI,5 gm,"Shirahshula, Shiroroga","250-500 mg
in single or divided dose","Kidney disease, long term use, peri- concepti onal period, pregnancy, lactating mothers, debilitay ed
patients",Both,S,"Shirhishula, headache"
Shvasakuthara Rasa,AFI,5 gm,"Kasa, Shvasa, Vatakaphaja Roga",125-250 mg,"Kidney disease, bradycar dia, arrhy- thmia, hypotens ion,  long term adm- inist ration, periconc eptional period, pregnancy, lactating mothers, debilitate
patients",IPD,S,"cough, Breathing, Dysfunction"
Smritisagara Rasa,AFI,5 gm,"Apasmara, Smriti
Daurbalya",125-250 mg,NS,Both,S,"epilepsy, Commemoration
Richness"
Tribhuvankirti Rasa,AFI,5 gm,"Jvara, Pratishyaya, Kasa",125-250 mg,"Bradycar dia, arrhythm ias, small children, Vrikka Roga, long term administ ration, periconc eptional period,
pregnancy, debilitate patients",Both,S,"fever, Renunciation, cough"
Vatagajankusha Rasa,BR,5 gm,"Vata Roga, Avabahuka, Urustambha, Pakshaghata,Gridhrasi",250 mg,"Long term use, Vrikka Roga, peri- concepti onal period, pregnancy, lactation and
debilitate patients",IPD,S,"Arthritis, Darbhuka, Urustabha, hemiplegia, sciatica"
Vatavidhavansan Rasa,AFI,5 gm,"Vatajashula, Sutika Vata, Grahaniroga",250 mg,NS,IPD,S,"Aegis, Sutika vata, Reception"
Navayasa Lauha,AFI,5 gm,"Pandu, Kamala,
Hridroga",250 mg,NS,Both,T,"anemia, jaundice, heart disease"
Saptamrita Lauha,AFI,5 gm,"Timira, Drishtimandya",250 mg,NS,Both,T,"cataract, Vision"
